,LOY_D11,LOY_E5b,LOY_E6b,LOY_F10,WT_A3,WT_C1,WT_C8,WT_D5
COL16A1,0.731162211305254,1.53073229172692,0.803054750737537,-0.180149804711376,-1.30984137846669,-1.23881406828834,-0.430815658857338,0.0946716565540462
COL8A2,1.6577969605894,-0.22860906929626,-0.142384432874358,0.195527892674982,0.436787390317992,0.230988725280069,-1.96536900690014,-0.184738459791683
GADD45A,-1.10559752404296,1.68898939349005,0.347199028843562,-0.091863668793244,-0.94673327614242,-0.79174621613135,1.10867800226244,-0.208925739486083
FZD8,-2.24561558936736,-0.0209292267838721,0.893584476089754,0.970225631586037,0.0223944969243057,-0.183562307609115,0.17297433464538,0.390928184514871
BDNF,-1.25290418172708,1.74413823688125,-0.249034455345701,0.846030020165245,-0.749608771913259,-0.658234162272746,0.690921573327834,-0.371308259115545
CD59,-1.39475314995985,1.10358866849008,0.630428454067988,-0.147130283381629,-0.0438269716556568,-1.36155728139829,1.24924524977364,-0.0359946859362773
EFEMP2,0.314566830021307,0.0448327125849482,1.55744000169119,-0.955735459725977,-1.19345160217867,-1.03237297835123,0.999857492775598,0.264863003182828
SERPINH1,-0.326545269925391,1.8436650164341,0.133247655569112,-0.354604438374175,-0.653692990274015,-1.56755317255324,0.324953359512249,0.600529839611369
NNMT,-0.920193461157831,2.30013254048969,-0.217064125850402,0.193098371450023,-0.647254411240481,-0.472208430481777,-0.351002739349196,0.114492256139978
CADM1,-0.75471626062748,2.19698811571691,-0.171430040911527,0.621551662878972,-0.261513549761791,-0.149574913311617,-0.744988009335253,-0.736317004648214
TAGLN,0.62475472921251,1.81460090755418,-0.606140547288731,-0.81252934347001,0.311566658500944,0.448811833313763,-1.34036209986276,-0.440702137959901
THY1,-0.069594473488275,2.36913724514552,-0.217839629703691,-0.127987425044046,-0.763058280205178,-0.659578654094166,0.0174678180462494,-0.548546600656412
GLIPR1,-0.235560139609938,2.31962034584099,-0.946473214351016,0.238876267187837,-0.0968465379303638,-0.615624027322812,-0.298950079099835,-0.365042614714868
FERMT2,-0.25785442007243,2.0719538841277,-0.104030576404977,0.649733586061077,-0.461251917622991,-1.35009501768382,-0.17023142473429,-0.37822411367028
GREM1,0.395780270655688,2.01770689876571,-0.578069988625783,0.454749208341954,0.0486070849380517,-0.294548482753112,-1.18444814920571,-0.859776842116801
