LineageGroup	Sample2	loy	roy	n_total	loy_pct	roy_pct	lineageClass	eligible	pass_min_cells	used_for_enrichment
1	LL	477	8	485	0.9835051546391752	0.016494845360824743	LOY	True	True	True
1	LM0_Engraft	1	0	1	1.0	0.0	LOY	True	True	True
1	Liv	1268	21	1289	0.9837083010085338	0.016291698991466253	LOY	True	True	True
1	M	5456	479	5935	0.9192923336141533	0.08070766638584667	LOY	True	True	True
1	RL	2906	73	2979	0.9754951325948304	0.02450486740516952	LOY	True	True	True
2	LL	546	19	565	0.9663716814159292	0.033628318584070796	LOY	True	True	True
2	LM0_Engraft	4	0	4	1.0	0.0	LOY	True	True	True
2	Liv	740	10	750	0.9866666666666667	0.013333333333333334	LOY	True	True	True
2	M	3805	371	4176	0.9111590038314177	0.08884099616858238	LOY	True	True	True
2	RL	1951	76	2027	0.96250616674889	0.03749383325111001	LOY	True	True	True
3	LL	0	5	5	0.0	1.0	ROY	True	True	True
3	LM0_Engraft	0	9	9	0.0	1.0	ROY	True	True	True
3	Liv	4	8	12	0.3333333333333333	0.6666666666666666	ROY	True	True	True
3	M	1105	3586	4691	0.23555745043700704	0.764442549562993	ROY	True	True	True
3	RL	3	63	66	0.045454545454545456	0.9545454545454546	ROY	True	True	True
4	LL	92	6	98	0.9387755102040817	0.061224489795918366	LOY	True	True	True
4	Liv	104	2	106	0.9811320754716981	0.018867924528301886	LOY	True	True	True
4	M	570	61	631	0.9033280507131537	0.09667194928684628	LOY	True	True	True
4	RL	281	7	288	0.9756944444444444	0.024305555555555556	LOY	True	True	True
6	LL	2	20	22	0.09090909090909091	0.9090909090909091	ROY	True	True	True
6	Liv	3	23	26	0.11538461538461539	0.8846153846153846	ROY	True	True	True
6	M	113	419	532	0.212406015037594	0.7875939849624061	ROY	True	True	True
6	RL	8	39	47	0.1702127659574468	0.8297872340425532	ROY	True	True	True
7	LL	0	13	13	0.0	1.0	ROY	True	True	True
7	LM0_Engraft	1	2	3	0.3333333333333333	0.6666666666666666	ROY	True	True	True
7	Liv	0	21	21	0.0	1.0	ROY	True	True	True
7	M	10	108	118	0.0847457627118644	0.9152542372881356	ROY	True	True	True
7	RL	25	426	451	0.05543237250554324	0.9445676274944568	ROY	True	True	True
8	LL	3	45	48	0.0625	0.9375	ROY	True	True	True
8	LM0_Engraft	0	3	3	0.0	1.0	ROY	True	True	True
8	Liv	0	49	49	0.0	1.0	ROY	True	True	True
8	M	20	241	261	0.07662835249042145	0.9233716475095786	ROY	True	True	True
8	RL	3	195	198	0.015151515151515152	0.9848484848484849	ROY	True	True	True
9	LL	0	35	35	0.0	1.0	ROY	True	True	True
9	LM0_Engraft	0	30	30	0.0	1.0	ROY	True	True	True
9	Liv	1	35	36	0.027777777777777776	0.9722222222222222	ROY	True	True	True
9	M	24	291	315	0.0761904761904762	0.9238095238095239	ROY	True	True	True
9	RL	6	173	179	0.0335195530726257	0.9664804469273743	ROY	True	True	True
10	LL	16	1	17	0.9411764705882353	0.058823529411764705	LOY	True	True	True
10	Liv	5	0	5	1.0	0.0	LOY	True	True	True
10	M	303	34	337	0.8991097922848664	0.10089020771513353	LOY	True	True	True
10	RL	152	19	171	0.8888888888888888	0.1111111111111111	LOY	True	True	True
11	LL	4	20	24	0.16666666666666666	0.8333333333333334	ROY	True	True	True
11	LM0_Engraft	2	4	6	0.3333333333333333	0.6666666666666666	ROY	True	True	True
11	Liv	5	40	45	0.1111111111111111	0.8888888888888888	ROY	True	True	True
